Symbol	IntOGen_Cancer_Type	IntOGen_Role	CGC_Tumour_Types	CGC_Cancer_Role	Com299_Pancaner_Frequency	Com435_Putative_DriveCategory	B125_Classification	B125_Core_pathway	B125_Process	SMG127_Pancan12_Freq
EZH2	"ALL,AML,DLBCL,EWS,LUAD,LY,NHLY"	LoF	DLBCL	"oncogene,TSG"	0.82%	High_Confidence_Driver	Oncogene	Chromatin_Modification	Cell_Fate	0.80%
FGFR2	"BRCA,CH,LUSC,SG,UCEC"	Act	"gastric,NSCLC,endometrial"	"oncogene,fusion"	1.94%	High_Confidence_Driver	Oncogene	PI3K;RAS;STAT	Cell_Survival	1.50%
FGFR3	"BLCA,HNSC,LUSC,MESO,MM"	Act	"bladder,MM,T-cell_lymphoma"	"oncogene,fusion"	1.53%	High_Confidence_Driver	Oncogene	PI3K;RAS;STAT	Cell_Survival	1.00%
FLT3	"ALL,AML"	Act	"AML,ALL"	oncogene	1.76%	High_Confidence_Driver	Oncogene	RAS;PI3K;STAT	Cell_Survival	2.70%
FOXL2	OV	Act	granulosa-cell_tumour_of_the_ovary	"oncogene,TSG"	-	-	Oncogene	TGF-b_	Cell_Fate	-
GATA2	AML	Act	AML_(CML_blast_transformation)	oncogene	-	-	Oncogene	"NOTCH,TGF-b_"	Cell_Fate	-
GNA11	"CM,UVM"	Act	"uveal_melanoma,primary_central_nervous_system_melanocytic_neoplasms"	oncogene	0.78%	-	Oncogene	PI3K;RAS;MAPK	Cell_Survival	-
GNAQ	"CM,UVM"	Act	"uveal_melanoma,primary_central_nervous_system_melanocytic_neoplasms"	oncogene	0.91%	-	Oncogene	PI3K;RAS;MAPK	Cell_Survival	-
GNAS	"ACC,BCNET,BRCA,CH,COREAD,ESCA,HC,MBL,PAAD"	Act	"pituitary_adenoma,pancreatic_intraductal_papillary_mucinous_neoplasm,fibrous_dysplasia"	oncogene	2.00%	High_Confidence_Driver	Oncogene	"APC;PI3K;TGF-b,RAS"	Cell_Survival/Cell_Fate	-
H3F3A	"HGG,PIA"	Act	glioma	oncogene	0.34%	-	Oncogene	Chromatin_Modification	Cell_Fate	-
HIST1H3B	"BLCA,BRCA,ESCA"	Act	glioma	oncogene	-	-	Oncogene	Chromatin_Modification	Cell_Fate	-
HRAS	"BLCA,BRCA,CM,COREAD,HNSC,LUSC,PCPG,PRAD,SSCC,THCA,THYM,VV"	Act	"infrequent_sarcomas,rare_other_tumour_types"	oncogene	1.45%	High_Confidence_Driver	Oncogene	RAS	Cell_Survival	-
IDH1	"AML,CH,CM,GBM,HC,HGG,LGG,MBL,MM,NSCLC,OS,PIA,PRAD"	Act	glioblastoma	oncogene	5.56%	High_Confidence_Driver	Oncogene	Chromatin_Modification	Cell_Fate	1.50%
IDH2	"AML,BLCA,CH,LGG,OS"	Act	glioblastoma	oncogene	0.65%	High_Confidence_Driver	Oncogene	Chromatin_Modification	Cell_Fate	0.80%
JAK1	"OV,PRAD,UCEC"	ambiguous	ALL	"oncogene,TSG"	1.37%	-	Oncogene	STAT	Cell_Survival	-
JAK2	"ALL,AML,BRCA"	ambiguous	"ALL,AML,MPN,_CML"	"oncogene,fusion"	1.10%	High_Confidence_Driver	Oncogene	STAT	Cell_Survival	-
JAK3	ALL	Act	"acute_megakaryocytic_leukaemia,ETP_ALL"	oncogene	1.54%	-	Oncogene	STAT	Cell_Survival	-
KIT	"AML,CM,LGG,MGCT,OS,ST"	Act	"GIST,AML,TGCT,mastocytosis,mucosal_melanoma"	oncogene	2.09%	High_Confidence_Driver	Oncogene	PI3K;RAS;STAT	Cell_Survival	1.40%
KLF4	"ALL,BRCA,NSCLC"	Act	meningioma	"oncogene,TSG"	-	-	Oncogene	Transcriptional_Regulation;WNT	Cell_Fate	-
KRAS	"ALL,AML,AN,BC,BCNET,BLCA,BRCA,CESC,CH,CLL,CM,COREAD,DLBCL,ESCA,HC,LUAD,MGCT,MM,NSCLC,OV,PAAD,PAIS,PIA,PRAD,RPC,ST,THCA,UCEC,UCS"	Act	"pancreatic,colorectal,lung,thyroid,AML,other_tumour_types"	oncogene	6.95%	High_Confidence_Driver	Oncogene	RAS	Cell_Survival	6.70%
MAP2K1	"BLCA,CM,COREAD,DLBCL,LUAD,NSCLC"	Act	"NSCLC,melanoma,colorectal"	oncogene	0.88%	-	Oncogene	RAS	Cell_Survival	-
MED12	"CESC,CLL,GBM,LGG,NB,OS,PRAD"	Act	"uterine_leiomyoma,fibroadenoma,phyllodes_tumour"	TSG	3.21%	High_Confidence_Driver	Oncogene	Cell_Cycle/Apoptosis;TGF-b_	Cell_Survival	-
MET	"LGG,RCCC,RPC"	Act	"papillary_renal,head-neck_squamous_cell"	oncogene	1.93%	-	Oncogene	PI3K;RAS	Cell_Survival	-
MPL	-	-	MPN	oncogene	-	-	Oncogene	STAT	Cell_SUrvival	-
MYD88	"CLL,DLBCL,NHLY"	Act	ABC-DLBCL	oncogene	0.47%	-	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	-
NFE2L2	"BLCA,CESC,ESCA,HC,HNSC,LUSC,RPC,UCEC"	Act	"NSCLC,HNSCC"	"oncogene,TSG"	2.78%	High_Confidence_Driver	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	2.30%
NRAS	"ALL,AML,ANGS,CH,CLL,CM,COREAD,GBM,HC,LGG,LUAD,LUSC,MGCT,MM,NSPH,OV,PAAD,PRAD,THCA,THYM,UCEC"	Act	"melanoma,MM,AML,thyroid"	oncogene	2.68%	High_Confidence_Driver	Oncogene	RAS	Cell_Survival	1.50%
PDGFRA	"GBM,HGG,LGG,LUSC,PIA"	Act	"GIST,idiopathic_hypereosinophilic_syndrome,paediatric_glioblastoma"	"oncogene,fusion"	2.43%	High_Confidence_Driver	Oncogene	PI3K;RAS	Cell_Survival	1.90%
PIK3CA	"ACY,AN,ANGS,BLCA,BRCA,CESC,CH,CM,COREAD,EPD,ESCA,GBM,HC,HGG,HNSC,LEIS,LGG,LUAD,LUSC,MBL,MESO,MGCT,NSCLC,OS,OV,PAAD,PIA,PRAD,RCCC,RPC,S,SBCC,ST,UCEC,UCS,VV"	Act	"colorectal,gastric,glioblastoma,breast"	oncogene	11.75%	High_Confidence_Driver	Oncogene	PI3K	Cell_Survival	17.80%
PPP2R1A	"ACY,COREAD,OV,THCA,UCEC,UCS,UVM"	Act	clear_cell_ovarian_carcinoma	TSG	1.77%	High_Confidence_Driver	Oncogene	Cell_Cycle/Apoptosis	Cell_Survival	1.50%
PTPN11	"ALL,AML,CLL,COREAD,GBM,LGG,MM,NB,PIA"	Act	"JMML,AML,MDS"	oncogene	0.89%	High_Confidence_Driver	Oncogene	RAS	Cell_Survival	1.00%
RET	"CM,LUAD,PCPG,S,THCA"	Act	"medullary_thyroid,papillary_thyroid,pheochromocytoma,NSCLC,Spitzoid_tumour"	"oncogene,fusion"	2.06%	-	Oncogene	RAS;PI3K_	Cell_Survival	-
SETBP1	"ACC,PCPG,RCCC,THCA"	Act	"aCML,sAML,MDS/MPN-U,CMML,JMML"	"oncogene,fusion"	2.65%	-	Oncogene	Chromatin_Modification;Replication	Cell_Fate	2.20%
SF3B1	"AML,BLCA,BRCA,CH,CLL,CM,LNET,MBL,PAAD,PRAD,RCCC,THYM,UVM"	Act	myelodysplastic_syndrome	oncogene	2.17%	High_Confidence_Driver	Oncogene	Transcriptional_Regulation	Cell_Fate	1.30%
SMO	"GBM,MBL,MESO,PIA,SBCC"	Act	skin_basal_cell	oncogene	-	-	Oncogene	HH	Cell_Fate	-
SPOP	"NHLY,PRAD,UCEC,UCS"	Act	"prostate,endometrial"	TSG	1.62%	High_Confidence_Driver	Oncogene	Chromatin_Modification;HH	Cell_Fate	0.70%
SRSF2	"AML,CESC"	Act	"MDS,CLL"	oncogene	0.57%	-	Oncogene	Transcriptional_Regulation	Cell_Fate	-
TSHR	-	-	toxic_thyroid_adenoma	oncogene	-	-	Oncogene	PI3K;MAPK	Cell_Survival	-
U2AF1	"AML,LUAD,NSCLC,PAAD,PRAD,UCEC,UCS"	Act	"CLL,MDS"	oncogene	0.84%	High_Confidence_Driver	Oncogene	Transcriptional_Regulation	Cell_Fate	0.80%
FH	NSCLC	LoF	-	TSG	-	-	-	-	-	-
APC	"AN,BC,CH,CM,COREAD,ESCA,HC,NSCLC,PRAD,SBCC,SSCC,ST,UVM,VV"	LoF	"colorectal,pancreatic,desmoid,hepatoblastoma,glioma,other_CNS"	TSG	5.87%	High_Confidence_Driver	-	-	-	7.30%
ATM	"BLCA,BRCA,CH,CLL,COREAD,ESCA,HC,HGG,LUAD,MM,NB,NSCLC,PAAD,PAIS,PRAD,RCCC,SCLC,ST,THCA,UCEC"	LoF	T-PLL	TSG	4.12%	High_Confidence_Driver	-	-	-	3.30%
ATR	"CM,UCEC"	LoF	"endometrial,gastric,epithelial_ovarian,myeloma"	TSG	2.81%	High_Confidence_Driver	-	-	-	2.40%
B2M	"CESC,DLBCL,HNSC,LY,NHLY,NSCLC"	LoF	"DLBCL,melanoma,colorectal_adenocarcinoma"	TSG	0.91%	High_Confidence_Driver	-	-	-	-
BAX	-	-	colorectal_cancer	TSG	-	-	-	-	-	-
BCR	"CLL,DLBCL,LUSC,LY,SCLC"	Act	"CML,ALL,AML"	fusion	-	-	-	-	-	-
BLM	-	-	-	TSG	-	High_Confidence_Driver	-	-	-	-
BTK	"LUAD,NHLY"	Act	"CLL,mantle_cell_lymphoma,WM"	"oncogene,TSG"	-	-	-	-	-	-
CIC	"LGG,LUAD"	LoF	"oligodendroglioma,soft_tissue_sarcoma"	"oncogene,TSG,fusion"	2.76%	High_Confidence_Driver	-	-	-	-
DCC	"ESCA,PAAD"	LoF	"CRC,melanoma,SCC"	-	-	-	-	-	-	-
DEK	-	-	AML	"oncogene,fusion"	-	-	-	-	-	-
EED	-	-	"malignant_peripheral_nerve_sheath_tumours,MDS_and_related,lung_adenocarcinoma"	TSG	-	-	-	-	-	-
ELL	"CM,HNSC,OV"	ambiguous	AL	"TSG,fusion"	-	-	-	-	-	-
ELN	BRCA	ambiguous	B-ALL	fusion	-	-	-	-	-	-
ERG	"OV,PRAD"	Act	"Ewing_sarcoma,prostate,AML"	"oncogene,fusion"	-	-	-	-	-	-
EZR	-	-	NSCLC	fusion	-	-	-	-	-	-
FAS	"CESC,DLBCL"	LoF	"TGCT,nasal_NK/T_lymphoma,skin_squamous_cell_carcinoma-burn_scar_related"	TSG	-	-	-	-	-	-
FES	-	-	"HNSCC,ovarian_carcinoma"	"oncogene,TSG"	-	High_Confidence_Driver	-	-	-	-
FEV	-	-	Ewing_sarcoma	"oncogene,fusion"	-	-	-	-	-	-
FUS	-	-	"liposarcoma,AML,Ewing_sarcoma,angiomatoid_fibrous_histiocytoma,fibromyxoid_sarcoma"	"TSG,fusion"	-	-	-	-	-	-
HLF	-	-	ALL	"oncogene,fusion"	-	-	-	-	-	-
ID3	DLBCL	LoF	Burkitt_lymphoma	TSG	-	-	-	-	-	-
IGH	-	-	"MM,Burkitt_lymphoma,NHL,CLL,B-ALL,MALT,MLCLS"	fusion	-	-	-	-	-	-
IGK	-	-	"Burkitt_lymphoma,B-NHL"	fusion	-	-	-	-	-	-
IGL	-	-	Burkitt_lymphoma	fusion	-	-	-	-	-	-
IL2	-	-	intestinal_T-cell_lymphoma	fusion	-	-	-	-	-	-
ISX	-	-	melanoma	-	-	-	-	-	-	-
ITK	-	-	peripheral_T-cell_lymphoma	fusion	-	-	-	-	-	-
JUN	-	-	sarcoma	oncogene	-	-	-	-	-	-
KDR	"ANGS,CLL,DLBCL,LUAD,PAIS,SBCC,SSCC"	Act	"NSCLC,angiosarcoma"	oncogene	-	-	-	-	-	-
LCK	-	-	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
LPP	"HNSC,UCS"	Act	"lipoma,leukaemia"	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
LYN	-	-	"DLBCL,B-ALL,MPN"	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
MAF	MM	LoF	MM	"oncogene,fusion"	-	-	-	-	-	-
MAX	"BRCA,LGG,MBL,MM,PIA,RCCC,UCEC"	Act	"pheochromocytoma,endometrioid_carcinoma,colon_carcinoma"	TSG	0.65%	High_Confidence_Driver	-	-	-	-
MN1	-	-	"AML,MDS"	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
MSN	"ESCA,SBCC"	ambiguous	ALCL	fusion	-	High_Confidence_Driver	-	-	-	-
MYB	-	-	adenoid_cystic_carcinoma	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
MYC	"AML,BLY,LY,NHLY"	Act	"Burkitt_lymphoma,amplified_in_other_cancers,B-CLL"	"oncogene,fusion"	0.82%	-	-	-	-	-
NBN	-	-	-	TSG	-	-	-	-	-	-
NF1	"ACC,ALL,AML,BLCA,BRCA,CH,CM,COREAD,GBM,HC,HNSC,LGG,LUAD,LUSC,NB,NSCLC,OV,PCPG,PIA,RCCC,RHBDS,S,THCA"	LoF	"neurofibroma,glioma"	"TSG,fusion"	5.29%	High_Confidence_Driver	-	-	-	4.40%
NF2	"CESC,HC,HNSC,MESO,OV,PAAD,RCCC,RPC,SSCC"	LoF	"meningioma,acoustic_neuroma,renal"	TSG	1.19%	-	-	-	-	-
NIN	"BRCA,COREAD,MESO,ST"	LoF	MPN	fusion	-	High_Confidence_Driver	-	-	-	-
OMD	-	-	aneurysmal_bone_cyst	fusion	-	-	-	-	-	-
PML	VV	LoF	"APL,ALL"	"TSG,fusion"	-	-	-	-	-	-
QKI	CM	LoF	"angiocentric_glioma,colorectal_cancer"	"oncogene,TSG"	-	Candidate_driver	-	-	-	-
RB1	"ACC,BLCA,BRCA,CESC,CM,ESCA,GBM,HC,HNSC,LEIS,LUAD,LUSC,MM,NSCLC,OS,OV,PIA,PRAD,RB,S,SCLC,ST,UCEC,UCS"	LoF	"retinoblastoma,sarcoma,breast,small_cell_lung_carcinoma"	TSG	3.70%	High_Confidence_Driver	-	-	-	3.20%
REL	-	-	Hodgkin_lymphoma	oncogene	-	-	-	-	-	-
SET	SCLC	Act	T-ALL	"oncogene,fusion"	-	-	-	-	-	-
SKI	-	-	melanoma	oncogene	-	-	-	-	-	-
SRC	-	-	"colorectal_cancer,endometrial_carcinoma"	oncogene	-	-	-	-	-	-
SYK	-	-	"MDS,peripheral_T-cell_lymphoma"	"oncogene,fusion"	-	-	-	-	-	-
TEC	UCEC	LoF	myxoid_chondrosarcoma	"oncogene,fusion"	-	-	-	-	-	-
TFG	HC	LoF	"papillary_thyroid,ALCL,NSCLC,extraskeletal_myxoid_chondrosarcoma"	fusion	-	-	-	-	-	-
TNC	"ACC,AML,LUSC,NB"	ambiguous	"SCC,melanoma"	oncogene	-	-	-	-	-	-
TPR	-	-	"papillary_thyroid,NSCLC"	fusion	-	High_Confidence_Driver	-	-	-	-
TRA	-	-	T-ALL	fusion	-	-	-	-	-	-
TRB	-	-	T-ALL	fusion	-	-	-	-	-	-
TRD	-	-	T-cell_leukaemia	fusion	-	-	-	-	-	-
VHL	"RCCC,THYM"	LoF	"renal,haemangioma,pheochromocytoma"	TSG	2.22%	High_Confidence_Driver	-	-	-	6.90%
WAS	MBL	LoF	-	oncogene	-	-	-	-	-	-
WRN	NSPH	LoF	-	TSG	-	High_Confidence_Driver	-	-	-	-
WT1	"ESCA,PAAD"	LoF	"Wilms_tumour,desmoplastic_small_round_cell_tumour"	"oncogene,TSG,fusion"	1.41%	High_Confidence_Driver	-	-	-	1.00%
XPA	-	-	-	TSG	-	-	-	-	-	-
XPC	HC	LoF	-	TSG	-	-	-	-	-	-
A1CF	-	-	melanoma	oncogene	-	-	-	-	-	-
ABI1	ESCA	ambiguous	AML	"TSG,fusion"	-	-	-	-	-	-
ABL2	"BRCA,THCA,UCEC"	Act	AML	"oncogene,fusion"	-	-	-	-	-	-
AFDN	-	-	AL	"oncogene,fusion"	-	-	-	-	-	-
AFF1	CM	Act	AL	fusion	-	-	-	-	-	-
AFF3	BRCA	ambiguous	"ALL,T-ALL"	"oncogene,fusion"	-	-	-	-	-	-
AFF4	-	-	ALL	"oncogene,fusion"	-	-	-	-	-	-
AKT2	-	-	"ovarian,pancreatic"	oncogene	-	-	-	-	-	-
AKT3	"PRAD,SSCC"	ambiguous	GBM	oncogene	-	-	-	-	-	-
ANK1	-	-	CCRCC	-	-	-	-	-	-	-
ARAF	"CH,CLL"	Act	"cholangiocarcinoma,lung_adenocarcinoma,Langerhans_cell_histiocytosis"	oncogene	0.79%	Candidate_driver	-	-	-	-
ARNT	-	-	AML	"oncogene,TSG,fusion"	-	-	-	-	-	-
ATF1	-	-	"malignant_melanoma_of_soft_parts,angiomatoid_fibrous_histiocytoma"	"oncogene,fusion"	-	-	-	-	-	-
ATIC	-	-	ALCL	fusion	-	-	-	-	-	-
ATRX	"ACC,CLL,GBM,HGG,LEIS,LGG,NB,OS,OV,PAIS,PIA,S"	LoF	"pancreatic_neuroendocrine_tumours,paediatric_GBM"	TSG	5.69%	High_Confidence_Driver	-	-	-	2.80%
BAP1	"BRCA,CESC,CH,CM,ESCA,HC,MESO,NSCLC,PAAD,RCCC,RPC,UVM"	LoF	"uveal_melanoma,breast,NSCLC,RCC"	TSG	2.14%	High_Confidence_Driver	-	-	-	2.00%
BCL3	-	-	CLL	"oncogene,fusion"	-	-	-	-	-	-
BCL6	"DLBCL,NHLY"	Act	"NHL,CLL"	"oncogene,fusion"	-	-	-	-	-	-
BCL9	"COREAD,ST"	Act	B-ALL	"oncogene,fusion"	-	-	-	-	-	-
BCOR	"ACC,ALL,AML,CH,CLL,COREAD,EWS,GBM,MBL,PIA,ST,THYM,UCEC,UCS"	LoF	"retinoblastoma,AML,APL_(translocation)"	"TSG,fusion"	2.65%	High_Confidence_Driver	-	-	-	-
BMP5	-	-	melanoma	-	-	-	-	-	-	-
BRD3	-	-	lethal_midline_carcinoma_of_young_people	"oncogene,fusion"	-	-	-	-	-	-
BRD4	"BLCA,PRAD"	Act	lethal_midline_carcinoma_of_young_people	"oncogene,fusion"	-	-	-	-	-	-
BTG1	"CLL,DLBCL,LY,MM,NHLY"	ambiguous	B-CLL	"TSG,fusion"	-	-	-	-	-	-
BTG2	-	-	DLBCL	TSG	0.57%	-	-	-	-	-
CALR	-	-	"MPN,MDS"	oncogene	-	-	-	-	-	-
CARS	ST	ambiguous	ALCL	"TSG,fusion"	-	-	-	-	-	-
CBFB	BRCA	Act	AML	"TSG,fusion"	0.48%	High_Confidence_Driver	-	-	-	0.70%
CBLB	-	-	AML	TSG	-	-	-	-	-	-
CBLC	-	-	AML	"oncogene,TSG"	-	-	-	-	-	-
CCNC	-	-	T-ALL	TSG	-	-	-	-	-	-
CCR4	-	-	adult_T-cell_leukaemia/lymphoma	oncogene	-	-	-	-	-	-
CCR7	DLBCL	LoF	adult_T-cell_leukaemia/lymphoma	oncogene	-	-	-	-	-	-
CD28	-	-	T-cell_lymphoma	oncogene	-	-	-	-	-	-
CD74	-	-	NSCLC	"oncogene,fusion"	-	-	-	-	-	-
CDH1	"BLCA,BRCA,DLBCL,SSCC,ST"	LoF	"lobular_breast,gastric"	TSG	2.43%	High_Confidence_Driver	-	-	-	2.50%
CDK4	CM	Act	-	oncogene	0.44%	-	-	-	-	-
CDK6	-	-	ALL	"oncogene,fusion"	-	-	-	-	-	-
CDX2	ESCA	Act	AML	"TSG,fusion"	-	-	-	-	-	-
CHD2	"BLCA,CLL,OS,RPC"	LoF	"melanoma,large_intestine,CLL,monoclonal_B_lymphocytosis"	TSG	-	-	-	-	-	-
CHD4	"ALL,BLCA,RCH,UCEC,UCS"	Act	uterine_serous_carcinoma	oncogene	3.10%	High_Confidence_Driver	-	-	-	-
CLP1	-	-	AML	fusion	-	-	-	-	-	-
CLTC	"BRCA,CH,HC"	Act	"ALCL,renal"	"TSG,fusion"	-	High_Confidence_Driver	-	-	-	-
CNBP	-	-	aneurysmal_bone_cyst	"TSG,fusion"	-	-	-	-	-	-
CTCF	"ALL,AML,BRCA,HNSC,NSCLC,UCEC"	LoF	"endometrial,breast,head_and_neck_cancer"	TSG	1.94%	High_Confidence_Driver	-	-	-	2.40%
CUL3	"HNSC,LUSC,NSCLC,PRAD,RPC"	LoF	lung_cancer	TSG	1.40%	Candidate_driver	-	-	-	-
CUX1	"BRCA,CM,GBM,LUAD,NSCLC,THCA,UCEC"	ambiguous	"endometrial,melanoma,colorectal,AML,MDS,other_tumour_types"	"oncogene,TSG"	-	Candidate_driver	-	-	-	-
CYLD	"HNSC,MM,NSPH,THYM"	LoF	cylindroma	TSG	0.98%	High_Confidence_Driver	-	-	-	-
DAXX	"ACC,PAIS"	LoF	"pancreatic_neuroendocrine_tumour,paediatric_glioblastoma"	"oncogene,TSG"	-	-	-	-	-	-
DDB2	AML	LoF	-	"oncogene,TSG"	-	-	-	-	-	-
DDR2	-	-	"squamous_cell_carcinoma,NSCLC"	oncogene	-	-	-	-	-	-
DDX5	-	-	prostate	"oncogene,fusion"	-	High_Confidence_Driver	-	-	-	-
DDX6	MBL	ambiguous	B-NHL	"oncogene,fusion"	-	-	-	-	-	-
DNM2	-	-	T-ALL	TSG	-	-	-	-	-	-
EBF1	"DLBCL,LUSC,NHLY"	ambiguous	lipoma	"TSG,fusion"	-	-	-	-	-	-
ELF3	"BLCA,CH"	LoF	pancreatic_cancer	TSG	1.33%	High_Confidence_Driver	-	-	-	0.60%
ELF4	AML	Act	AML	"oncogene,TSG,fusion"	-	-	-	-	-	-
ELK4	-	-	prostate	"oncogene,fusion"	-	-	-	-	-	-
EML4	"ESCA,SCLC"	ambiguous	NSCLC	fusion	-	-	-	-	-	-
ERC1	-	-	"papillary_thyroid,Spitzoid_tumour"	fusion	-	-	-	-	-	-
ESR1	"BRCA,LUSC,OS,SBCC,UCEC"	Act	breast	"oncogene,TSG,fusion"	1.12%	High_Confidence_Driver	-	-	-	-
ETV1	-	-	"Ewing_sarcoma,prostate"	"oncogene,fusion"	-	-	-	-	-	-
ETV4	NB	LoF	"Ewing_sarcoma,prostate_carcinoma"	"oncogene,fusion"	-	-	-	-	-	-
ETV5	"AML,BRCA"	Act	prostate	"oncogene,fusion"	-	-	-	-	-	-
ETV6	"ALL,DLBCL,NHLY"	Act	"congenital_fibrosarcoma,multiple_different_leukaemia_and_lymphoma_tumour_types_including_ALL,secretory_breast,MDS"	"TSG,fusion"	-	-	-	-	-	-
EXT1	-	-	-	"TSG,fusion"	-	-	-	-	-	-
EXT2	CH	LoF	-	TSG	-	-	-	-	-	-
FADD	-	-	"breast_cancer,HNSCC"	-	-	-	-	-	-	-
FAT1	"AN,BCNET,BLCA,BRCA,CESC,CLL,ESCA,HC,HNSC,LUSC,MBL,OV,PAAD,PRAD,SBCC,SSCC,ST,UCEC,UVM,VV"	LoF	"oral_squamous_cell,chemorefractory_CLL,head_and_neck,pancreatic_acinar_cell_carcinoma"	TSG	6.22%	-	-	-	-	-
FAT3	"BCNET,BRCA,CLL,CM,COREAD,DLBCL,ESCA,HNSC,LUSC,PAAD,PRAD,SBCC,ST,THCA"	ambiguous	"SCC,colon_adenocarcinoma,gastric_adenocarcinoma"	-	-	-	-	-	-	-
FAT4	"ACC,ALL,AML,BRCA,CLL,CM,COREAD,DLBCL,ESCA,GBM,HC,HNSC,LUAD,LY,MESO,MGCT,MM,NSCLC,PAAD,PAIS,PRAD,SBCC,SCLC,ST"	LoF	"lymphoma,pancreatic,head_and_neck,melanoma,hepatocellular_carcinoma"	TSG	-	-	-	-	-	-
FEN1	-	-	-	TSG	-	-	-	-	-	-
FHIT	"DLBCL,ST"	ambiguous	pleomorphic_salivary_gland_adenoma	"TSG,fusion"	-	-	-	-	-	-
FLCN	COREAD	LoF	-	TSG	-	-	-	-	-	-
FLI1	-	-	Ewing_sarcoma	"oncogene,fusion"	-	-	-	-	-	-
FLNA	-	-	phyllodes_tumour_of_the_breast	-	3.24%	Candidate_driver	-	-	-	-
FLT4	"ANGS,BLCA,HC,LUAD,LUSC,NB,SBCC"	ambiguous	soft_tissue_sarcoma	oncogene	-	-	-	-	-	-
GAS7	-	-	AML*	fusion	-	-	-	-	-	-
GLI1	LEIS	Act	"CRC,oesophagus_cancer"	"oncogene,fusion"	-	-	-	-	-	-
GMPS	HC	LoF	AML	fusion	-	-	-	-	-	-
